日期,现金,持仓市值,总资产,持仓数量
2019-03-08,444.1549999996023,1309836.406,1279893.6979999996,5
2019-03-11,268.1649999996298,1318087.616,1317801.8949999998,5
2019-03-12,355.5589999996009,1315123.666,1349514.1749999996,5
2019-03-13,408.09199999962584,1286583.5559999999,1301080.9039999996,5
2019-03-14,187.4619999996503,1328425.6600000001,1247563.7959999996,5
2019-03-15,334.28199999959907,1329737.512,1309236.4819999996,5
2019-03-18,223.61199999967357,1330756.902,1334283.1119999997,5
2019-03-19,379.1119999997318,1319275.882,1343584.2119999998,5
2019-03-20,301.7459999997518,1309514.7400000002,1335438.974,5
2019-03-21,469.4709999997867,1301001.36,1342108.7339999997,5
2019-03-22,337.400999999918,1297673.35,1325386.5509999997,5
2019-03-25,237.03099999992992,1282782.0320000001,1297368.9759999998,5
2019-03-26,147.24699999991572,1280170.57,1265286.923,5
2019-03-27,508.1679999998596,1285621.7719999999,1263112.8319999997,5
2019-03-28,279.4949999998789,1300564.352,1257938.5819999997,5
2019-03-29,192.5209999999297,1414891.71,1283757.4409999999,5
2019-04-01,336.3330000001006,1417083.7799999998,1342481.051,5
2019-04-02,235.5130000000936,1438777.444,1344139.6909999999,5
2019-04-03,242.05000000010477,1487263.38,1349183.9160000002,5
2019-04-04,347.2530000000497,1595580.389,1373136.065,5
2019-04-08,19050.961999999785,1531588.666,1466672.403,5
2019-04-09,16229.365999999864,1528407.206,1453480.7310000001,5
2019-04-10,14120.014999999907,1513634.046,1442343.9919999999,5
2019-04-11,7169.386999999988,1511006.927,1407828.458,5
2019-04-12,10397.722000000009,1557008.3410000002,1424111.916,5
2019-04-15,10553.656000000034,1594223.563,1424808.365,5
2019-04-16,17783.232000000004,1564097.563,1461192.385,5
2019-04-17,19189.662000000004,1564097.563,1467735.992,5
2019-04-18,20185.72200000001,1564004.1930000002,1472030.771,5
2019-04-19,20372.939000000093,1560555.995,1474178.666,5
2019-04-22,194.65800000005402,1504049.938,1574367.9579999999,5
2019-04-23,206.92499999998836,1529344.849,1520331.207,5
2019-04-24,228.8540000000503,1430185.8800000001,1529551.7740000002,5
2019-04-25,294.9340000000666,1422135.6600000001,1456328.594,5
2019-04-26,417.97400000016205,1410497.36,1455201.2840000002,5
2019-04-29,239.03400000019428,1410404.4760000003,1405866.4340000001,5
2019-04-30,275.7110000003013,1396576.0760000001,1416496.0560000003,5
2019-05-06,310.96700000041164,1405424.476,1376813.1520000005,5
2019-05-07,113.81700000056298,1424047.889,1403042.5470000005,5
2019-05-08,159.15000000054715,1436885.3960000002,1406895.1900000006,5
2019-05-09,331.7460000005667,1450108.4279999998,1404656.1640000006,5
2019-05-10,296.00800000058734,1439021.0359999998,1433964.2880000006,5
2019-05-13,228.95800000068266,1444305.116,1430654.4090000005,5
2019-05-14,255.1020000006938,1446262.736,1451066.3040000007,5
2019-05-15,253.0000000006985,1431056.007,1464707.8300000008,5
2019-05-16,385.2820000007632,1427248.623,1462310.0640000007,5
2019-05-17,175.43700000079116,1422196.987,1432762.6780000008,5
2019-05-20,321.24700000078883,1423659.683,1426350.3290000008,5
2019-05-21,180.57600000075763,1419316.404,1436870.5860000008,5
2019-05-22,268.6510000007693,1420987.3220000002,1435988.5510000007,5
