日期,转债代码,转债名称,操作,数量,价格,金额,收益,收益率
2018-02-12,113018.SH,常熟转债,卖出,4,104.97,419.88,-13.704859714134443,-3.1608252472584364
2018-02-13,113017.SH,吉视转债,卖出,5,100.14,500.7,-18.900251762336353,-3.6374600855623274
2018-02-13,113018.SH,常熟转债,卖出,5,105.56,527.8,-15.331167108753263,-2.822737496425687
2018-02-14,123005.SZ,万信转债,卖出,3,110.55,331.65,-18.581989972144896,-5.305623273768568
2018-02-14,113017.SH,吉视转债,买入,2,99.86,199.72,0.0,0.0
2018-02-14,113018.SH,常熟转债,买入,8,104.9,839.2,0.0,0.0
2018-02-22,123005.SZ,万信转债,卖出,9,111.655,1004.895,-47.55994754464297,-4.518953296347683
2018-02-22,113018.SH,常熟转债,卖出,1888,105.94,200014.72,-5584.929999999992,-2.7164102662626144
2018-02-22,128034.SZ,江银转债,买入,2026,98.25,199054.5,0.0,0.0
2018-02-23,113017.SH,吉视转债,卖出,5,100.41,502.04999999999995,-18.8399142713061,-3.616870619900947
2018-02-23,123005.SZ,万信转债,卖出,1783,110.302,196668.46600000001,-12887.008000000009,-6.149688077344139
2018-02-23,128034.SZ,江银转债,卖出,4,98.2,392.8,-0.19999999999998863,-0.050890585241725184
2018-02-23,128022.SZ,众信转债,买入,1697,117.012,198569.364,0.0,0.0
2018-02-26,113017.SH,吉视转债,卖出,1978,101.35,200470.3,-6114.640000000027,-2.959867258474902
2018-02-26,128022.SZ,众信转债,卖出,19,119.15,2263.85,40.6220000000001,1.8271630260144223
2018-02-26,128034.SZ,江银转债,买入,1,98.827,98.827,0.0,0.0
2018-02-26,123005.SZ,万信转债,买入,1779,112.4,199959.6,0.0,0.0
2018-02-27,128022.SZ,众信转债,卖出,1678,121.19,203356.82,4787.455999999994,2.4109741319411127
2018-02-27,128034.SZ,江银转债,买入,5,99.004,495.02000000000004,0.0,0.0
2018-02-27,123005.SZ,万信转债,买入,2,112.75,225.5,0.0,0.0
2018-02-27,113018.SH,常熟转债,买入,1886,106.49,200840.13999999998,0.0,0.0
2018-02-28,128034.SZ,江银转债,卖出,2028,98.661,200084.508,436.16100000002695,0.218464618692793
2018-02-28,113018.SH,常熟转债,卖出,1886,106.3,200481.8,-358.3399999999957,-0.17842050896798023
